id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
169483,Very close to Downtown Awesome Private Apartment,807642,Jeffrey,Brooklyn,Gravesend,Entire home/apt,106,7,0,2,0
200645,Best Manhattan Studio Deal!   ,933378,Edo,Manhattan,Upper East Side,Shared room,90,1,0,1,0
221043,1 Bedroom in prime Flatiron,846050,Eziah,Manhattan,NoHo,Private room,250,2,0,1,0
236806,charming 2bdrm apt in East Village,1151987,Juvie,Manhattan,East Village,Entire home/apt,160,4,0,1,0
237210,Manhattan Loft in Prime East Village Location,1243192,Jacqueline,Manhattan,Greenwich Village,Entire home/apt,241,30,0,1,249
239826,"Amazing 1 bed, live like a Newyorkr",1257760,Jay,Manhattan,Gramercy,Entire home/apt,399,1,0,1,12
250311,1 Bedroom Available In My Two Bedroom Flat,945499,Kyle,Brooklyn,Crown Heights,Private room,150,3,0,1,0
250537,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,Entire home/apt,400,5,0,2,365
258876,"Affordable rooms,all transportation",1360198,Marina,Staten Island,Arrochar,Private room,50,7,0,4,189
265912,Spacious  2 bed Loft apartment Bedford L,1394719,Jill,Brooklyn,Williamsburg,Entire home/apt,110,4,0,1,354
266437,West Village cozy 2 bedroom  NYC ,1397061,Asia Joanna,Manhattan,Chelsea,Entire home/apt,220,4,0,1,0
273256,Beautiful bed and bath - Manhattan,1429642,Delia,Manhattan,East Harlem,Private room,200,6,0,1,0
283072,One bedroom sharing Bathroom,1474637,Eliza,Brooklyn,Cypress Hills,Private room,75,7,0,1,0
283184,Huge Williamsburg Loft..Perfect for Big Groups!,1427381,Elizabeth,Brooklyn,Williamsburg,Entire home/apt,300,7,0,2,354
292637,Beautiful Spacious One Bedroom,1021834,Svetlana,Brooklyn,Crown Heights,Entire home/apt,100,5,0,1,0
293004,Room next to Columbia Uni.,910719,Sena,Manhattan,Harlem,Entire home/apt,110,1,0,1,0
298854,"Low$pacious in Williamsburg, Bklyn",1412944,Jason,Brooklyn,Williamsburg,Private room,75,3,0,1,358
299062,1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng,236421,Jessica,Manhattan,Upper East Side,Private room,190,3,0,2,0
303462,Fully Furnished 1B/1BTH UWS GEM  1 YR Sublease,1562045,Antonio,Manhattan,Upper West Side,Entire home/apt,295,1,0,1,146
344068,21 day Chelsea Apartment rental,1745312,Steven,Manhattan,Flatiron District,Private room,160,21,0,1,0
349841,Williamsburg Loft: Amazing Sublet,202507,Nom,Brooklyn,Williamsburg,Private room,160,5,0,1,0
363673,Beautiful 3 bedroom in Manhattan,256239,Tracey,Manhattan,Upper West Side,Private room,3000,7,0,1,365
394235,Flatiron-Designer's loft,1970839,Javier,Manhattan,Flatiron District,Entire home/apt,350,7,0,1,0
402037,Stay with a Jazz Singer in Harlem!,2006712,Amanda,Manhattan,Harlem,Private room,125,1,0,1,365
408491,Charming West Village One Bedroom,2034361,Marshall,Manhattan,Greenwich Village,Entire home/apt,145,5,0,1,0
439870,"Gorgeous Park Slope, BK triplex 4BD",1903758,Andrij,Brooklyn,Park Slope,Entire home/apt,299,20,0,1,149
450905,Master Bedroom / ParkSlope Brooklyn,2228665,Martha,Brooklyn,Park Slope,Private room,110,2,0,1,0
468613,$ (Phone number hidden by Airbnb) weeks - room f,2325861,Cynthia,Manhattan,Lower East Side,Private room,1300,1,0,1,0
474283,Studio apartment by Columbus Circle,950232,Deborah,Manhattan,Hell's Kitchen,Entire home/apt,117,7,0,1,0
490011,Great for families!,2423401,Peter,Brooklyn,Carroll Gardens,Private room,200,5,0,1,342
494296,Brooklyn waterfront large sunny apt,2442340,Maddy,Brooklyn,Columbia St,Private room,75,7,0,1,0
501041,UPWS sunny DUPLEX +PATIO,1386685,Aleksandra,Manhattan,Upper West Side,Entire home/apt,300,7,0,1,0
514548,Loft Apt and Art Studio: 4-month rental,2533991,Amanda,Brooklyn,Bushwick,Entire home/apt,180,30,0,1,352
526520,Large light-filled Apt in Brooklyn,2576980,Eleanor,Brooklyn,Prospect Heights,Private room,60,2,0,1,0
527076,"Great 1BR, 1BaR in Lux Bldg w Pool",2590219,Kyle,Manhattan,Upper East Side,Entire home/apt,175,2,0,1,0
544039,Luxury 2-bdrm w Piano & Gym,2674637,Greta,Brooklyn,Sunset Park,Entire home/apt,120,14,0,1,0
547830,Brooklyn Summer Sublet-Ditmas Park,2693076,Kristin,Brooklyn,Flatbush,Entire home/apt,90,3,0,1,157
548184,Cozy Room in GREENPOINT Apt. YeY,2694253,Yonatan,Brooklyn,Greenpoint,Private room,199,1,0,1,365
594732,Greenwich Village Skylit 1BR +deck!,2938302,Chris,Manhattan,Greenwich Village,Entire home/apt,331,7,0,1,189
602250,College Students see New York !,2979607,Miriam,Queens,Cambria Heights,Private room,55,3,0,2,365
611408,Cozy Comfortable Friendly & Cheap!,2979607,Miriam,Queens,Cambria Heights,Private room,45,3,0,2,365
618836,1 BR Apartment near Prospect Park!,3065891,Sarah,Brooklyn,Crown Heights,Entire home/apt,115,3,0,1,0
620214,NYC/Queens 1 Bedroom Apartment,3073291,David,Queens,Astoria,Entire home/apt,175,14,0,1,0
622410,"Great room in 2BR, Bright + Cozy!",1563352,Evelina,Brooklyn,Crown Heights,Private room,85,2,0,1,0
623423,ENTIRE LUXURY MADISON AVE STUDIO,3091205,Angela,Manhattan,Midtown,Entire home/apt,150,30,0,1,352
627949,COMFY-CUTE-N-CLEAN APT in WBURG,585879,Armando,Brooklyn,Williamsburg,Entire home/apt,180,3,0,1,0
649561,Manhattan Sky Crib (1 year sublet),3260084,David,Manhattan,Chelsea,Entire home/apt,135,365,0,1,365
671496,Great private room in awesome area!,3403890,Cory,Brooklyn,Crown Heights,Private room,70,3,0,1,0
710015,"Large room, Outdoor Patio, Great Host, Safe Area!",3136147,Gym Hoodie,Brooklyn,Borough Park,Private room,103,3,0,1,0
722264,Medium-sized furnished room,3729726,Samir,Brooklyn,Crown Heights,Private room,60,7,0,1,0
746983,Enjoy All the Comforts of Home!,3920171,Sophia,Manhattan,Harlem,Private room,80,3,0,1,362
766814,Adorable Midtown West Studio!,4022922,Caitlin,Manhattan,Hell's Kitchen,Entire home/apt,95,1,0,1,0
771436,3BR/3 Bath House in Astoria,4070269,William,Queens,Ditmars Steinway,Entire home/apt,250,28,0,1,88
773497,Great spot in Brooklyn,4081688,Santiago,Brooklyn,Bedford-Stuyvesant,Shared room,200,1,0,1,365
789686,Cute & Quirky Private Room,3055496,Tessa,Manhattan,Washington Heights,Private room,80,3,0,1,0
793590,Sunny in the Heart of Williamsburg,2450605,Jennifer,Brooklyn,Williamsburg,Entire home/apt,225,1,0,1,0
795641,Weekend NY getaway? Holiday stay?,3472148,Brian,Queens,Ditmars Steinway,Private room,60,1,0,1,0
798008,Hancock Town House!-Stuyvesant Mews,758441,Fred,Brooklyn,Bedford-Stuyvesant,Private room,165,1,0,4,0
805793,Charming Astoria/NYC Studio Sublet,4241831,Timothy,Queens,Long Island City,Entire home/apt,150,14,0,1,0
818314,Cozy room in beautiful apartment !,4298156,Melina,Manhattan,Harlem,Private room,35,7,0,1,0
826690,"Sunny, Family-Friendly 2 Bedroom",4289240,Lucy,Brooklyn,Prospect Heights,Entire home/apt,4000,4,0,1,83
832157,Seeking tenant for January 2013,4356301,Coire,Brooklyn,Bushwick,Private room,120,1,0,1,0
834968,3br w/ Private Roof Steps to Subway,1896642,Jay,Brooklyn,Williamsburg,Entire home/apt,500,5,0,1,0
837256,"UES APT- NEAR CENTRAL PARK, MUSEUMS",2862643,Nia,Manhattan,Upper East Side,Entire home/apt,280,2,0,1,0
839539,"Awesome, Unique EAST VILLAGE LOFT!!",3200135,Matt,Manhattan,East Village,Private room,80,7,0,1,31
845362,Perfect 750 SF W. Village 1 Bedroom,4413463,Carolyn,Manhattan,West Village,Entire home/apt,250,7,0,1,0
848174,1BR East Village Apt - Entire Apt.,1468667,Darragh,Manhattan,East Village,Entire home/apt,190,1,0,1,0
850435,Sunny Loft in Brooklyn next to Bedford L,4441020,Tara,Brooklyn,Williamsburg,Entire home/apt,55,30,0,1,159
853900,Immaculate brand new one bedroom ,4459052,Dominique,Queens,Astoria,Entire home/apt,95,30,0,1,0
872035,furnished bedroom 1150$ a month  ,4599027,Amal,Manhattan,East Harlem,Private room,100,30,0,2,365
872210,Quiet 1BR Heart of the East Village,4600589,Carter,Manhattan,East Village,Private room,200,1,0,1,0
890794,Cozy- bedroom in Jackson Heights!,4731046,Luis,Queens,Jackson Heights,Private room,70,2,0,1,188
895368,Large 2 bedroom apt in Manhattan,4770121,Somaya,Manhattan,Harlem,Entire home/apt,100,180,0,4,365
900503,Stylish 1897 garden duplex oasis!,4634013,Brandi,Brooklyn,Clinton Hill,Entire home/apt,275,3,0,1,0
908046,1150$furnished room with a balcony,4599027,Amal,Manhattan,East Harlem,Private room,100,30,0,2,365
931352,Lovely Private Room in Bushwick! :),4156449,Cassia,Brooklyn,Bushwick,Private room,40,5,0,1,0
973653,A true Sanctuary in Harlem NYC,4770121,Somaya,Manhattan,Harlem,Entire home/apt,100,185,0,4,358
981494,Large and sunny one BR (600 sq.ft),5207582,Olivia,Manhattan,Morningside Heights,Entire home/apt,100,1,0,1,0
985338,"Monthly rental of guest room,limited kitchen use",1417489,Lorna,Brooklyn,Brooklyn Heights,Entire home/apt,100,180,0,1,365
1016352,Midtown West Modern & Sunny-near Central Park,5593208,Tj,Manhattan,Hell's Kitchen,Entire home/apt,550,1,0,1,365
1024113,"Lovely room in East Williamsburg, NY",2120889,Megan,Brooklyn,Williamsburg,Private room,63,2,0,1,66
1032127,Short Term Stay in Chelsea/MP NYC,5679237,Renee,Manhattan,Chelsea,Entire home/apt,275,7,0,1,188
1059531,Staten Island 1st floor Apartment,7875272,Mary,Staten Island,Port Richmond,Entire home/apt,221,30,0,3,0
1067251,Entire home/apt in New York,5872605,Patrick,Manhattan,East Village,Entire home/apt,395,5,0,1,0
1090732,You take living or bedroom!,5993276,Alfred,Queens,Richmond Hill,Shared room,60,7,0,1,362
1096326,"Private studio in staten island 

",6024006,Johnny,Staten Island,St. George,Entire home/apt,190,2,0,1,365
1100753,Stunner Garden Apt in Townhouse,6046616,Stephen,Manhattan,Washington Heights,Entire home/apt,175,2,0,1,280
1127040,spacious PARK SLOPE room available ,835112,Leah,Brooklyn,South Slope,Private room,40,90,0,2,311
1136399,Furnished Nolita Studio,6233644,Sri,Manhattan,Nolita,Entire home/apt,200,3,0,1,0
1137999,Private room in a townhouse in NYC,6242426,H. Ann,Queens,Jamaica,Private room,133,1,0,1,281
1166947,Huge Private Sunny Bedroom in NYC,6390340,Lori,Manhattan,Washington Heights,Private room,125,56,0,1,365
1171581,Spacious 2 bedroom near Times Sq,6414296,Noelle,Manhattan,Hell's Kitchen,Entire home/apt,1000,1,0,1,365
1171716,Room with a sunrise view over colored rooftops,6415261,John,Brooklyn,Flatbush,Private room,35,30,0,1,317
1183005,Hostess Dawn in Brooklyn.,6471326,Dawn,Brooklyn,East Flatbush,Private room,89,2,0,1,365
1183236,Fantastic 1 BR in massive share.,6472794,Joel,Queens,Long Island City,Private room,60,1,0,1,0
1198231,Clean & Quiet Apartment.,2020556,Michael,Queens,Astoria,Shared room,50,1,0,1,0
1209069,One bedroom July 1- Decemb (Phone number hidden by Airbnb) p.mo .,6602545,Eleni,Brooklyn,South Slope,Private room,50,90,0,2,0
1227258,Amazing Duplex in Williamsburg,5309521,Reut,Brooklyn,Williamsburg,Entire home/apt,220,5,0,1,234
1229630,Spacious Harlem Condo,6706578,Nancy,Manhattan,Harlem,Entire home/apt,100,60,0,1,365
1252826,"Three bedroom apartment, Manhattan",4656534,Anna,Manhattan,Upper East Side,Entire home/apt,250,3,0,1,10
1264663,Prospect Park Apt With Terrace,809716,Adero,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,350,5,0,1,365
1281054,Casa de Chester Baby Kitty,6970929,Andy,Manhattan,East Village,Entire home/apt,200,3,0,1,0
1284789,Light-filled Brownstone Triplex with Roof Deck,5768571,Gus,Brooklyn,Prospect Heights,Entire home/apt,390,3,0,1,28
1300097,"Marcel the Shell with Shoes On or Off, Whatever",4069241,Shannon,Brooklyn,Brooklyn Heights,Private room,1500,1,0,1,0
1308155,Deep House in Bed Stuy,7111113,Carolina,Brooklyn,Bedford-Stuyvesant,Private room,133,7,0,1,0
1337148,Sunny Top Floor Uptown Apartment,7251483,Marc,Manhattan,Inwood,Entire home/apt,125,6,0,1,0
1347175,NYC from River dale's Perspective,7309046,Bojana,Bronx,Kingsbridge,Private room,90,3,0,1,353
1354775,Sunlit Noho Loft,7353062,Tim,Manhattan,NoHo,Entire home/apt,250,1,0,1,0
1360932,Cozy apartment in NY for 3 weeks,7387960,Max,Manhattan,Harlem,Private room,120,15,0,1,365
1374457,Bedroom in Williamsburg Brooklyn,5386695,Joanne,Brooklyn,Williamsburg,Private room,55,28,0,1,365
1398234,Elegant SOHO One Bedroom,6083756,Sara,Manhattan,Nolita,Entire home/apt,217,30,0,1,293
1398326,"Charming, light-filled 1-bedroom",1705617,David,Brooklyn,Fort Hamilton,Entire home/apt,90,7,0,1,0
1408914,"Modern, Art Deco Chelsea Studio",2594389,Arsen,Manhattan,Chelsea,Entire home/apt,200,3,0,1,345
1420295,"Sunny, Bright, Vibrant Apartment in Williamsburg!",2357027,Harmon,Brooklyn,Williamsburg,Entire home/apt,200,7,0,1,345
1425801,Perfectly situated williamsburg apt,1862491,Ben,Brooklyn,Williamsburg,Private room,70,10,0,1,365
1428371,Great  Room in Astoria - New York,7681692,Ernesto,Queens,Astoria,Private room,75,6,0,1,180
1442450,Saratoga Park Suite,7388128,Aqila,Brooklyn,Bedford-Stuyvesant,Private room,72,3,0,1,365
1446009,Room in Colourful Williamsburg Apartment,1481172,Elena,Brooklyn,Williamsburg,Private room,138,1,0,1,29
1452786,"A beautiful, and quiet place to stay in NYC!!!",6122499,Marjorie,Queens,Bellerose,Shared room,150,2,0,1,365
1586935,Luxury Gramercy Lg 1Bd w Balcony,8457613,Erin,Manhattan,Gramercy,Entire home/apt,250,365,0,1,365
1620248,Large furnished 2 bedrooms- - 30 days Minimum,2196224,Sally,Manhattan,East Village,Entire home/apt,10,30,0,4,137
1655880,"4BD, 2 Bath Apt Flatiron on 6th Ave",8778889,Steven,Manhattan,Flatiron District,Entire home/apt,1200,1,0,1,0
1682258,Big Studio Apt Convenient Gramercy,5434492,Elizabeth,Manhattan,Kips Bay,Entire home/apt,200,1,0,1,0
1683227,Clean room near Columbia Univ,8900383,Zee,Manhattan,Morningside Heights,Private room,220,1,0,1,365
1695731,1BR Apt in Murray Hill/Midtown,8955761,Murrel,Manhattan,Murray Hill,Private room,55,1,0,1,0
1702032,The Top-Notch Top-Floor,8986314,Stephen,Brooklyn,Greenpoint,Private room,90,1,0,1,0
1741745,Private room in East Harlem,1845333,Annabel,Manhattan,East Harlem,Private room,95,1,0,1,0
1762513,"2bd/2bth, drmn, 1 block from subway in LIC",9264606,Jeremy,Queens,Long Island City,Entire home/apt,275,7,0,1,0
1777674,Charming space in lively neighborhood.,6327260,Joseph,Brooklyn,Crown Heights,Private room,75,1,0,1,58
1786408,A quite nice bedroom in Greenpoint,9375506,Selim,Brooklyn,Greenpoint,Private room,70,3,0,1,0
1787771,CHIC NEW YORK OASIS WITH ROOF DECK!,9381867,Gilleon,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,1,0,1,0
1798271,Spacious center hall colonial,9430973,Donna,Staten Island,Woodrow,Entire home/apt,700,7,0,1,0
1805261,Flat Iron 2BD Beautiful Apt ,9462127,Krista,Manhattan,Flatiron District,Entire home/apt,475,1,0,1,0
1810640,R & R In Harlem,4572968,Na'Im,Manhattan,Harlem,Private room,140,1,0,1,365
1823141,Large 1 BR apartment in the LES!,3981706,Leo,Manhattan,Lower East Side,Entire home/apt,92,2,0,1,0
1834738,Luxury Contemporary Central Home,9593224,Ian,Manhattan,Chelsea,Entire home/apt,300,5,0,1,0
1836381,Bushwick / Bed Sty Retreat,9600781,Brian,Brooklyn,Bedford-Stuyvesant,Private room,85,2,0,1,0
1839231,Great Apt-Heart of East Village! ,9613050,Sinead,Manhattan,East Village,Entire home/apt,150,1,0,1,0
1843034,SPECIAL NEW YEAR'S LUXURIOUS MANHATTAN APT,9630447,Lois,Manhattan,Midtown,Entire home/apt,295,2,0,1,0
1853765,"Pre-War - Subway,Park's & Museum's",416918,Kimberly,Manhattan,Upper East Side,Entire home/apt,550,1,0,1,0
1856627,Labor Day in Brooklyn Room Stay,9689041,Jay,Brooklyn,Crown Heights,Private room,175,5,0,1,359
1861281,Carol,9709464,Jessica,Manhattan,East Village,Private room,1700,1,0,1,0
1865884,Harlem 1BR - 3 blocks to subway!,1753078,Abby,Manhattan,Harlem,Entire home/apt,139,5,0,1,0
1873531,Entire Apartment in Nolita/LES,9762099,Mary,Manhattan,Lower East Side,Entire home/apt,145,1,0,1,0
1876969,Penthouse in Bedford Stuyvesant ,9582999,Shane,Brooklyn,Bedford-Stuyvesant,Entire home/apt,150,1,0,1,0
1884398,Art-filled 1BR on best block in WV ,3627583,Brandon,Manhattan,West Village,Entire home/apt,249,60,0,1,363
1886240,June 30 Th to August 31 st,9813233,Tao,Manhattan,SoHo,Entire home/apt,245,1,0,1,0
1886294,quitissential brooklyn loft,9813350,Jeremy,Brooklyn,DUMBO,Entire home/apt,150,9,0,1,0
1887489,Gracious Brooklyn Limestone,9818634,Lara,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,175,1,0,1,0
1887874,"Big, bright, Williamsburg bedroom",9820312,Brandon,Brooklyn,Williamsburg,Private room,40,7,0,1,331
1898110,Charming one bedroom in brownstone,9520651,Vivian,Brooklyn,Gowanus,Private room,200,2,0,1,365
1908986,NYC UES APT RENTAL,9906590,Evan,Manhattan,Upper East Side,Entire home/apt,350,1,0,1,0
1914759,Urban Oasis in Chelsea,9931428,Joseph,Manhattan,Chelsea,Entire home/apt,225,2,0,1,17
1931341,Cozy bedroom on Wall Street,9997988,Jagriti,Manhattan,Financial District,Private room,40,1,0,1,0
1941094,XLARGE-Modern-clean master bedroom,2559004,Sergio,Manhattan,East Harlem,Private room,50,30,0,5,356
1944891,Spacious one bedroom apartment,861330,Joseph,Brooklyn,Williamsburg,Entire home/apt,49,7,0,3,0
1950318,NYC Theatre District 1 Bdrm Apt ,10074602,Shane,Manhattan,Hell's Kitchen,Entire home/apt,200,5,0,1,0
1954429,Scenic 1 Bedroom sleeps 4,10102581,Deborah,Manhattan,Washington Heights,Entire home/apt,150,4,0,1,0
1960045,Loft Bedroom in Luxury Apartment,6655162,Carlos,Brooklyn,Williamsburg,Private room,80,31,0,1,0
1965712,Lovely large 1-bdrm apt UWS,10153235,Tammie,Manhattan,Upper West Side,Entire home/apt,235,1,0,1,0
1971635,Adorable Apt on Prospect Park!,10180449,Isabel,Brooklyn,Windsor Terrace,Entire home/apt,100,15,0,1,0
1979579,Best Central Park/NYC View Apt,8219931,Jason,Manhattan,Upper West Side,Entire home/apt,300,1,0,1,0
1979848,1 BR  in a luxury apt bldg,10217559,Mary Elizabeth,Brooklyn,Park Slope,Entire home/apt,175,1,0,1,0
1981656,Loft 402 : Photo Studio : Brooklyn,4139790,Harry,Brooklyn,Williamsburg,Entire home/apt,350,5,0,1,365
1989838,Luxury 4 BD NYC Times Sq Apartment,3185905,Patrick,Manhattan,Midtown,Entire home/apt,1500,1,0,1,0
1992751,Bushwick House,10258336,Angelo,Brooklyn,Bushwick,Entire home/apt,90,3,0,1,0
1994548,luxury bldg for the coming holiday,10280728,Uri,Manhattan,Roosevelt Island,Entire home/apt,150,1,0,1,0
2003807,UWS MANHATTAN APT FOR SUPERBOWL WE,10317189,Edouard,Manhattan,Upper West Side,Entire home/apt,1000,1,0,1,0
2017012,W Village Luxury Apt. (Super Bowl),10373126,Sirous,Manhattan,West Village,Entire home/apt,850,3,0,1,0
2021742,Cozy Apt in the heart of Manhattan!,10390993,Danny,Manhattan,Midtown,Entire home/apt,159,7,0,1,0
2022126,Midtown Manhattan Apt,10392717,Rick,Manhattan,Midtown,Private room,500,5,0,1,0
2022920,UES,8214568,Allison,Manhattan,Upper East Side,Entire home/apt,250,1,0,1,0
2025779,Charming East Village One Bedroom,212572,Joyce,Manhattan,East Village,Entire home/apt,175,4,0,1,0
2026434,Fab Williamsburg Brooklyn Apt.,5772472,Anthony,Brooklyn,Greenpoint,Entire home/apt,500,5,0,1,0
2026869,Sunny Village Studio: Long Stays,10411521,Matt,Manhattan,East Village,Entire home/apt,120,5,0,1,0
2028625,"SB 2014/Winter in NYC, PH, 860 sf!!",10419406,Scott,Manhattan,Harlem,Entire home/apt,300,3,0,1,0
2037951,Modern West Village Apartment,4191006,Nick,Manhattan,West Village,Private room,500,365,0,1,0
2044392,The heart of Williamsburg 2 bedroom,620218,Sarah,Brooklyn,Williamsburg,Entire home/apt,250,4,0,1,0
2045097,Charming Lower East Side Studio!,4119331,Ryan,Manhattan,Lower East Side,Entire home/apt,100,7,0,1,0
2046273,Private room in Park Slope,3126588,Laszlo,Brooklyn,Sunset Park,Private room,40,25,0,1,0
2049322,Private room in Brooklyn Loft,9446761,Paul,Brooklyn,Williamsburg,Private room,45,7,0,1,0
2050406,"Bright, Huge 1Bdrm in Midtown",10406601,Amaryllis,Manhattan,Midtown,Entire home/apt,250,1,0,1,0
2054899,Sunny Apartment in West Village,800720,Seb,Manhattan,West Village,Entire home/apt,1000,3,0,1,0
2055467,Great Location on St. Marks Place,10526877,Steven,Manhattan,East Village,Entire home/apt,150,1,0,1,0
2060768,West Village Apt steps to Path,10547610,Raj,Manhattan,West Village,Entire home/apt,800,1,0,1,0
2061367,"Room on Upper West Side, Manhattan",10550207,Brooke,Manhattan,Upper West Side,Private room,100,2,0,1,0
2065101,Sunny Room,7455886,Emily,Queens,Astoria,Private room,35,7,0,1,0
2065985,"Woodside Queens,  New York",9757249,Kenny,Queens,Sunnyside,Private room,50,1,0,1,0
2069059,Cozy 2BR Brooklyn retreat w/Bckyard,10581580,Carolyn,Brooklyn,South Slope,Private room,85,10,0,1,0
2070290,LARGE 2 BEDROOM FOR SUPER BOWL ,10585956,Yigal,Manhattan,Hell's Kitchen,Entire home/apt,599,1,0,1,0
2071941,Huge Sunny Family Friendly Loft in Greenpoint,1468317,Jessie,Brooklyn,Greenpoint,Entire home/apt,200,5,0,1,0
2075377,Studio Apartment centrally located!,10607256,Lisa,Manhattan,Kips Bay,Entire home/apt,175,3,0,1,0
2083791,Live like a native,14751,Chris,Brooklyn,Bedford-Stuyvesant,Private room,100,1,0,1,220
2083824,Luxurious & Spacious 1 Bedroom Apt,10643695,Sam,Brooklyn,Williamsburg,Entire home/apt,575,1,0,1,0
2087663,"Chic, neat & cozy small 1 BR Apt",10657268,Boryana,Queens,Astoria,Entire home/apt,130,5,0,1,0
2089273,Williamsburg Luxury 1 Bedroom,8956323,Jayar,Brooklyn,Williamsburg,Entire home/apt,180,2,0,1,0
2091483,Large BR in a 3BR apartment,2529788,Cagil,Brooklyn,Prospect Heights,Private room,75,1,0,1,188
2101710,In the heart of Hell's Kitchen,10717291,Adam,Manhattan,Hell's Kitchen,Entire home/apt,175,1,0,1,0
2103480,Thanksgiving in Manhattan!,10725397,Andrea,Manhattan,Upper West Side,Entire home/apt,560,1,0,1,0
2104588,Time Square doorman building 1 bdrm,6757150,Olena,Manhattan,Theater District,Entire home/apt,240,4,0,1,0
2106662,Large one bedroom apartment,10736013,Javier,Manhattan,West Village,Entire home/apt,156,1,0,1,0
2106706,"Large Bright Room, East Village Apt",1534243,Seth,Manhattan,East Village,Private room,120,1,0,1,0
2107372,Best NYC Deal on upper west!,10346860,Shlom And Lyndz,Manhattan,Upper West Side,Entire home/apt,400,1,0,1,0
2108635,One room/full floor in a Duplex,2770596,Emilio,Brooklyn,Prospect-Lefferts Gardens,Private room,100,4,0,2,0
2112344,Private Bushwick Loved Room with a Sacred Garden,10768668,Shervin,Brooklyn,Bushwick,Private room,75,5,0,1,0
2113431,Amazing room in Greenpoint,10775192,Joshua,Brooklyn,Greenpoint,Private room,70,1,0,2,0
2115773,Spacious 1BR Haven in Duplex w/Deck,514261,Vanessa,Brooklyn,South Slope,Private room,120,7,0,3,0
2122613,SuperBowl West Village Apartment,6854214,Nick,Manhattan,West Village,Entire home/apt,325,1,0,1,0
2126376,Spacious Bedroom in Williamsburg Loft.,10846328,Luis,Brooklyn,Williamsburg,Private room,60,4,0,2,0
2127382,Upper East Side apt for Super Bowl,10852093,Mark,Manhattan,Upper East Side,Entire home/apt,150,1,0,1,0
2132248,Huge Master Bedroom w/ Private Bath,3695778,Zach,Brooklyn,Williamsburg,Private room,95,5,0,1,0
2135766,"Super Bowl, 2 bdrm, UWS apartment ",4074918,Julie,Manhattan,Upper West Side,Entire home/apt,900,1,0,1,0
2136511,Private room with bathroom and balcony.,6001762,Ajang,Brooklyn,Bedford-Stuyvesant,Private room,60,7,0,1,365
2137714,Casa de La Musica,1193933,Yoruba,Brooklyn,Bushwick,Entire home/apt,200,7,0,1,0
2142092,"Furnished room - W. 181 St. by A, 1",8280182,Alejandro,Manhattan,Washington Heights,Private room,300,2,0,1,365
2149184,Super Bowl Rental 2BR in Soho,7363831,Garrett,Manhattan,SoHo,Entire home/apt,900,1,0,1,0
2150328,"SUPERBOWL!! 2 Bd, 2 Ba w Roof Deck!",10974237,Abby,Manhattan,East Village,Entire home/apt,850,1,0,1,0
2150727,1500 sq ft apt sleeps 8 - SuperBowl,5579700,Steve,Manhattan,Gramercy,Entire home/apt,2000,1,0,1,0
